0.072170	0.353849	0.007741	-0.000874	-0.429120	0.019618	
0.072177	0.353848	0.007312	-0.000855	-0.429560	0.019175	
0.072184	0.353847	0.006882	-0.000836	-0.429993	0.018732	
0.072191	0.353846	0.006452	-0.000817	-0.430419	0.018290	
0.072197	0.353845	0.006021	-0.000799	-0.430839	0.017848	
0.072203	0.353844	0.005590	-0.000782	-0.431253	0.017407	
0.072208	0.353844	0.005159	-0.000764	-0.431660	0.016966	
0.072213	0.353843	0.004727	-0.000748	-0.432060	0.016526	
0.072218	0.353842	0.004295	-0.000731	-0.432454	0.016086	
0.072222	0.353841	0.003862	-0.000715	-0.432841	0.015646	
0.072225	0.353841	0.003429	-0.000700	-0.433222	0.015207	
0.072229	0.353840	0.002996	-0.000685	-0.433596	0.014768	
0.072231	0.353839	0.002562	-0.000671	-0.433964	0.014330	
0.072234	0.353839	0.002128	-0.000656	-0.434325	0.013892	
0.072236	0.353838	0.001693	-0.000643	-0.434680	0.013455	
0.072237	0.353837	0.001258	-0.000630	-0.435027	0.013018	
0.072238	0.353837	0.000823	-0.000617	-0.435369	0.012582	
0.072239	0.353836	0.000388	-0.000604	-0.435704	0.012146	
0.072239	0.353836	-0.000048	-0.000592	-0.436032	0.011710	
0.072239	0.353835	-0.000484	-0.000581	-0.436353	0.011275	
0.072238	0.353834	-0.000921	-0.000570	-0.436668	0.010841	
0.072237	0.353834	-0.001358	-0.000559	-0.436977	0.010407	
0.072235	0.353833	-0.001795	-0.000549	-0.437279	0.009973	
0.072233	0.353833	-0.002232	-0.000539	-0.437574	0.009540	
0.072231	0.353832	-0.002670	-0.000530	-0.437862	0.009108	
0.072228	0.353832	-0.003108	-0.000521	-0.438144	0.008676	
0.072225	0.353831	-0.003546	-0.000513	-0.438420	0.008245	
0.072221	0.353831	-0.003985	-0.000505	-0.438689	0.007814	
0.072217	0.353830	-0.004424	-0.000497	-0.438951	0.007383	
0.072212	0.353830	-0.004863	-0.000490	-0.439206	0.006953	
0.072207	0.353829	-0.005302	-0.000483	-0.439455	0.006524	
0.072201	0.353829	-0.005742	-0.000477	-0.439698	0.006095	
0.072195	0.353828	-0.006181	-0.000471	-0.439934	0.005667	
0.072189	0.353828	-0.006621	-0.000465	-0.440163	0.005239	
0.072182	0.353827	-0.007062	-0.000460	-0.440385	0.004812	
0.072175	0.353827	-0.007502	-0.000456	-0.440601	0.004385	
0.072167	0.353826	-0.007943	-0.000452	-0.440810	0.003959	
0.072159	0.353826	-0.008384	-0.000448	-0.441013	0.003534	
0.072150	0.353825	-0.008825	-0.000445	-0.441209	0.003109	
0.072141	0.353825	-0.009266	-0.000442	-0.441398	0.002684	
0.072132	0.353825	-0.009708	-0.000439	-0.441581	0.002261	
0.072122	0.353824	-0.010149	-0.000437	-0.441757	0.001837	
0.072112	0.353824	-0.010591	-0.000436	-0.441927	0.001415	
0.072101	0.353823	-0.011033	-0.000434	-0.442089	0.000993	
0.072089	0.353823	-0.011475	-0.000434	-0.442246	0.000571	
0.072078	0.353822	-0.011918	-0.000433	-0.442395	0.000150	
0.072066	0.353822	-0.012360	-0.000433	-0.442538	-0.000270	
0.072053	0.353822	-0.012803	-0.000434	-0.442674	-0.000690	
0.072040	0.353821	-0.013246	-0.000435	-0.442804	-0.001109	
0.072027	0.353821	-0.013688	-0.000436	-0.442927	-0.001527	
0.072013	0.353820	-0.014131	-0.000438	-0.443043	-0.001945	
0.071998	0.353820	-0.014575	-0.000440	-0.443153	-0.002363	
0.071984	0.353819	-0.015018	-0.000442	-0.443256	-0.002779	
0.071968	0.353819	-0.015461	-0.000445	-0.443352	-0.003195	
0.071953	0.353818	-0.015904	-0.000449	-0.443442	-0.003611	
